Name,Team,Country,Position,League,Shirt Number,Priority
Marc-André ter Stegen,FC Barcelona,GER,GK,LaLiga,1, 1
Joan García,FC Barcelona,ESP,GK,LaLiga,13, 1
Wojciech Szczęsny,FC Barcelona,POL,GK,LaLiga,31, 1
Alejandro Balde,FC Barcelona,ESP,DF,LaLiga,3, 1
Ronald Araújo,FC Barcelona,URU,DF,LaLiga,4, 1
Pau Cubarsí,FC Barcelona,ESP,DF,LaLiga,5, 1
Andreas Christensen,FC Barcelona,DEN,DF,LaLiga,15, 2
Gerard Martín,FC Barcelona,ESP,DF,LaLiga,18, 2
Jules Koundé,FC Barcelona,FRA,DF,LaLiga,23, 1
Eric García,FC Barcelona,ESP,DF,LaLiga,24, 2
Gavi,FC Barcelona,ESP,MF,LaLiga,6, 1
Pedri,FC Barcelona,ESP,MF,LaLiga,8, 1
Fermín López,FC Barcelona,ESP,MF,LaLiga,16, 2
Marc Casadó,FC Barcelona,ESP,MF,LaLiga,32, 2
Dani Olmo,FC Barcelona,ESP,MF,LaLiga,19, 1
Frenkie de Jong,FC Barcelona,NED,MF,LaLiga,21, 1
Marc Bernal,FC Barcelona,ESP,MF,LaLiga,22, 2
Ferran Torres,FC Barcelona,ESP,FW,LaLiga,7, 1
Robert Lewandowski,FC Barcelona,POL,FW,LaLiga,9, 1
Lamine Yamal,FC Barcelona,ESP,FW,LaLiga,10, 1
Raphinha,FC Barcelona,BRA,FW,LaLiga,11, 1
Marcus Rashford,FC Barcelona,ENG,FW,LaLiga,14, 1
Roony Bardghji,FC Barcelona,SWE,FW,LaLiga,28, 2
Thibaut Courtois,Real Madrid,BEL,GK,LaLiga,1, 1
Dani Carvajal,Real Madrid,ESP,DF,LaLiga,2, 1
Éder Militão,Real Madrid,BRA,DF,LaLiga,3, 1
David Alaba,Real Madrid,AUT,DF,LaLiga,4, 2
Jude Bellingham,Real Madrid,ENG,MF,LaLiga,5, 1
Eduardo Camavinga,Real Madrid,FRA,MF,LaLiga,6, 1
Vinícius Júnior,Real Madrid,BRA,FW,LaLiga,7, 1
Federico Valverde,Real Madrid,URU,MF,LaLiga,8, 1
Endrick,Real Madrid,BRA,FW,LaLiga,9, 2
Kylian Mbappé,Real Madrid,FRA,FW,LaLiga,10, 1
Rodrygo,Real Madrid,BRA,FW,LaLiga,11, 1
Trent Alexander-Arnold,Real Madrid,ENG,DF,LaLiga,12, 1
Andriy Lunin,Real Madrid,UKR,GK,LaLiga,13, 2
Aurélien Tchouaméni,Real Madrid,FRA,MF,LaLiga,14, 1
Arda Güler,Real Madrid,TUR,MF,LaLiga,15, 1
Gonzalo,Real Madrid,ESP,FW,LaLiga,16, 2
Raúl Asencio,Real Madrid,ESP,DF,LaLiga,17, 2
Álvaro Carreras,Real Madrid,ESP,DF,LaLiga,18, 2
Dani Ceballos,Real Madrid,ESP,MF,LaLiga,19, 2
Fran García,Real Madrid,ESP,DF,LaLiga,20, 2
Brahim Díaz,Real Madrid,ESP,FW,LaLiga,21, 2
Antonio Rüdiger,Real Madrid,GER,DF,LaLiga,22, 1
Ferland Mendy,Real Madrid,FRA,DF,LaLiga,23, 2
Dean Huijsen,Real Madrid,ESP,DF,LaLiga,24, 2
Mastantuono,Real Madrid,ARG,FW,LaLiga,30, 2
Juan Musso,Atletico Madrid,ARG,GK,LaLiga,1, 3
José María Giménez,Atletico Madrid,URU,DF,LaLiga,2, 2
Matteo Ruggeri,Atletico Madrid,ITA,DF,LaLiga,3, 3
Conor Gallagher,Atletico Madrid,ENG,MF,LaLiga,4, 2
Johnny Cardoso,Atletico Madrid,USA,MF,LaLiga,5, 3
Koke,Atletico Madrid,ESP,MF,LaLiga,6, 2
Antoine Griezmann,Atletico Madrid,FRA,FW,LaLiga,7, 1
Pablo Barrios,Atletico Madrid,ESP,MF,LaLiga,8, 2
Alexander Sørloth,Atletico Madrid,NOR,FW,LaLiga,9, 2
Álex Baena,Atletico Madrid,ESP,MF,LaLiga,10, 2
Thiago Almada,Atletico Madrid,ARG,FW,LaLiga,11, 2
Carlos Martín,Atletico Madrid,ESP,FW,LaLiga,12, 3
Jan Oblak,Atletico Madrid,SVN,GK,LaLiga,13, 1
Marcos Llorente,Atletico Madrid,ESP,MF,LaLiga,14, 2
Clément Lenglet,Atletico Madrid,FRA,DF,LaLiga,15, 2
Nahuel Molina,Atletico Madrid,ARG,DF,LaLiga,16, 2
Dávid Hancko,Atletico Madrid,SVK,DF,LaLiga,17, 2
Marc Pubill,Atletico Madrid,ESP,DF,LaLiga,18, 3
Julián Álvarez,Atletico Madrid,ARG,FW,LaLiga,19, 1
Giuliano Simeone,Atletico Madrid,ARG,MF,LaLiga,20, 3
Javi Galán,Atletico Madrid,ESP,DF,LaLiga,21, 2
Giacomo Raspadori,Atletico Madrid,ITA,FW,LaLiga,22, 2
Nicolás González,Atletico Madrid,ARG,MF,LaLiga,23, 2
Robin Le Normand,Atletico Madrid,ESP,DF,LaLiga,24, 2
James Trafford,Manchester City,ENG,GK,Premier League,1, 3
Marcus Bettinelli,Manchester City,ENG,GK,Premier League,13, 3
Stefan Ortega,Manchester City,GER,GK,Premier League,18, 3
Gianluigi Donnarumma,Manchester City,ITA,GK,Premier League,25, 1
Rúben Dias,Manchester City,POR,CB,Premier League,3, 1
John Stones,Manchester City,ENG,CB / RB / DM,Premier League,5, 1
Nathan Aké,Manchester City,NED,CB / LB,Premier League,6, 2
